event_count,customer,customer_id,customer_1,customer_1_id,customer_2,customer_2_id,customer_3,customer_3_id,customer_4,customer_4_id,customer_5,customer_5_id,customer_6,customer_6_id
565,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Incremental Tenants,1203.0,,,,,,,,
1330,Miscellaneous NP Tenants,1068,Boulevard Tire Center,199,,,,,,,,,,
52,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,MTZ Co,1207.0,,,,,,,,
703,Hub Group Inc,1133,Michelin North America Inc,1153,,,,,,,,,,
102,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Dirty South Diesel,1704.0,,,,,,,,
54,Landstar Ranger,564,TravelCenters Of America Inc,1187,TA Shops (Integrated),1312.0,,,,,,,,
23,RXO,1174,Franco Fleet Service,1989,,,,,,,,,,
650,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Wise Carriers,1193.0,,,,,,,,
34,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Utility Trailer Manufacturing Co LLC,1339.0,,,,,,,,
3961,Miscellaneous NP Tenants,1068,TravelCenters Of America Inc,1187,TA Shops (Integrated),1312.0,,,,,,,,
14,Hub Group Inc,1133,Direct ChassisLink Inc,1112,P & G Roadside Service LLC,695.0,,,,,,,,
265,Direct ChassisLink Inc,1112,Pomps Tire Service Inc,68,,,,,,,,,,
1,Altom Transport Inc,106,Pomps Tire Service Inc,68,,,,,,,,,,
784,Amazon Logistics Inc,1081,Fleetpride Inc,406,,,,,,,,,,
91,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Skyway Road Service Corp,847.0,,,,,,,,
2753,Miscellaneous NP Tenants,1068,Pomps Tire Service Inc,68,,,,,,,,,,
1,STG Logistics,884,Direct ChassisLink Inc,1112,Trucks And Trailers Mobile Mechanic,1874.0,,,,,,,,
2,Direct ChassisLink Inc,1112,Wells Mobile Truck & Trailer Repair LLC,1936,,,,,,,,,,
1347,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,P & B Intermodal Services LLC,694.0,,,,,,,,
15,Amazon Logistics Inc,1081,McCarthy Tire Service,613,,,,,,,,,,
27,XPO Inc,1059,Bridgestone Americas LLC,210,McCarthy Tire Service,613.0,,,,,,,,
8,Chicago Intermodal Transportation Inc,1866,Direct ChassisLink Inc,1112,SOS Fleet Repair,1879.0,,,,,,,,
91,Miscellaneous NP Tenants,1068,Bridgestone Americas LLC,210,Best One,73.0,Eagle Teleservices,1117.0,,,,,,
97,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Marine Repair Services Container Maintenance Corp,770.0,,,,,,,,
168,Direct ChassisLink Inc,1112,Lintrac Services Inc,575,,,,,,,,,,
60,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Cundiffs Tire Louisville,1105.0,,,,,,,,
4,NationaLease Purchasing Corp,70,Bridgestone Americas LLC,210,Pomps Tire Service Inc,68.0,,,,,,,,
119,Amazon Logistics Inc,1081,Bridgestone Americas LLC,210,Best One,73.0,,,,,,,,
2,White Oak Transportation Inc,1552,Bridgestone Americas LLC,210,Atlanta Commercial Tire,138.0,,,,,,,,
28,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,TA Shops (Non Integrated),1281.0,,,,,,,,
10,SuperValu Inc,897,Bridgestone Americas LLC,210,McCarthy Tire Service,613.0,,,,,,,,
20,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,OTR Fleet Service,1159.0,,,,,,,,
53,Miscellaneous NP Tenants,1068,Bridgestone Americas LLC,210,Pomps Tire Service Inc,68.0,,,,,,,,
30,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,BYD Coach & Bus,1093.0,,,,,,,,
31,XPO Inc,1059,Bridgestone Americas LLC,210,Incremental Tenants,1203.0,Bridgestone Americas LLC,210.0,,,,,,
41,Bennett Motor Express,167,TravelCenters Of America Inc,1187,Eagle Teleservices,1117.0,,,,,,,,
222,Direct ChassisLink Inc,1112,P & B Intermodal Services LLC,694,,,,,,,,,,
21,Hub Group Inc,1133,Integrated Industries Corp,496,,,,,,,,,,
85,Schneider National Inc,824,Goodyear FleetHQ,1128,,,,,,,,,,
4,Mckinney Trailer Rental,619,Bridgestone Americas LLC,210,TA Shops (Non Integrated),1281.0,,,,,,,,
83,Incremental Tenants,1203,Bridgestone Americas LLC,210,Pomps Tire Service Inc,68.0,,,,,,,,
28,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,J & T Trailer Service,1937.0,,,,,,,,
44,Florida East Coast Railway,1124,FYX Fleet LLC,42,,,,,,,,,,
2,Hub Group Inc,1133,Direct ChassisLink Inc,1112,Tallys Towing And Recovery,1836.0,,,,,,,,
291,Hub Group Inc,1133,Direct ChassisLink Inc,1112,Senoran Truck Repair,1176.0,,,,,,,,
6,Covenant Transportation Group,302,McCarthy Tire Service,613,,,,,,,,,,
1,Frito Lay Transportation,51,Bridgestone Americas LLC,210,Atlanta Commercial Tire,138.0,,,,,,,,
1,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Clearview Auto Glass & Tint,2233.0,,,,,,,,
57,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Integrated Industries Corp,496.0,,,,,,,,
17,North American Truck Leasing Group,668,Boulevard Tire Center,199,,,,,,,,,,
6,North American Chassis Pool Cooperative LLC,1155,P & B Intermodal Services LLC,694,,,,,,,,,,
38,Bulk Transport Co East Inc,1854,Bridgestone Americas LLC,210,Pomps Tire Service Inc,68.0,,,,,,,,
4,STG Logistics,884,Direct ChassisLink Inc,1112,Across Road & Rail,1900.0,,,,,,,,
4,New Prime Inc,662,Direct ChassisLink Inc,1112,Chassis Support Services,1209.0,,,,,,,,
41,Direct ChassisLink Inc,1112,Marine Repair Services Container Maintenance Corp,770,,,,,,,,,,
237,Amazon Logistics Inc,1081,Bridgestone Americas LLC,210,Pomps Tire Service Inc,68.0,,,,,,,,
239,XPO Inc,1059,Bridgestone Americas LLC,210,Southern Tire Mart LLC,865.0,,,,,,,,
9,Expediter Services LLC,2314,TravelCenters Of America Inc,1187,Incremental Tenants,1203.0,,,,,,,,
3,Cheema Freightlines LLC,263,Bridgestone Americas LLC,210,Incremental Tenants,1203.0,Bridgestone Americas LLC,210.0,,,,,,
104,Hub Group Inc,1133,Direct ChassisLink Inc,1112,Wise Carriers,1193.0,,,,,,,,
6,JB Hunt Transport Services Inc,515,Bridgestone Americas LLC,210,Miscellaneous NP Tenants,1068.0,Bridgestone Americas LLC,210.0,,,,,,
12,Hub Group Inc,1133,Direct ChassisLink Inc,1112,ATCC Repair Services,1082.0,,,,,,,,
64,STG Logistics,884,Integrated Industries Corp,496,,,,,,,,,,
16,Decker Truck Line Inc,338,Bridgestone Americas LLC,210,Southern Tire Mart LLC,865.0,,,,,,,,
3,Amazon Logistics Inc,1081,TA Shops (Integrated),1312,,,,,,,,,,
59,PVT Group Ltd,745,Kal Tire Ltd,538,,,,,,,,,,
10,Heartland Express Inc,472,TravelCenters Of America Inc,1187,TA Shops (Integrated),1312.0,,,,,,,,
88,Bennett Motor Express,167,TravelCenters Of America Inc,1187,TA Shops (Integrated),1312.0,,,,,,,,
2,R L Carriers Inc,784,Direct ChassisLink Inc,1112,Southern Tire Mart LLC,865.0,,,,,,,,
38,Pritchett Trucking Inc,1551,Boulevard Tire Center,199,,,,,,,,,,
37,Direct ChassisLink Inc,1112,Integrated Industries Corp,496,,,,,,,,,,
59,Bennett Motor Express,167,TravelCenters Of America Inc,1187,Incremental Tenants,1203.0,,,,,,,,
17,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Thomas Fleet Service LLC,930.0,,,,,,,,
3,University Corp,2125,TravelCenters Of America Inc,1187,TA Shops (Integrated),1312.0,,,,,,,,
14,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Loves Travel Stops & Country Stores Inc,39.0,,,,,,,,
