event_count,customer,customer_id,customer_1,customer_1_id,customer_2,customer_2_id,customer_3,customer_3_id,customer_4,customer_4_id,customer_5,customer_5_id,customer_6,customer_6_id
129,HB Ind Repair Services Inc,1130,Direct ChassisLink Inc,1112,,,,,,,,,,
4003,Pomps Tire Service Inc,68,Bridgestone Americas LLC,210,JB Hunt Transport Services Inc,515,,,,,,,,
18533,TA Shops (Integrated),1312,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
15561,Kal Tire Ltd,538,Miscellaneous NP Tenants,1068,,,,,,,,,,
2884,Southern Tire Mart LLC,865,Bridgestone Americas LLC,210,Amazon Logistics Inc,1081,,,,,,,,
429,P & B Intermodal Services LLC,694,STG Logistics,884,,,,,,,,,,
4927,FYX Fleet LLC,42,Hub Group Inc,1133,,,,,,,,,,
307,Wise Carriers,1193,Direct ChassisLink Inc,1112,,,,,,,,,,
2523,McCarthy Tire Service,613,Bridgestone Americas LLC,210,Amazon Logistics Inc,1081,,,,,,,,
1893,TA Shops (Integrated),1312,TravelCenters Of America Inc,1187,Penske Corp Inc,29,,,,,,,,
181,Boulevard Tire Center,199,Annett Holdings Inc,117,,,,,,,,,,
1493,Southern Tire Mart LLC,865,Bridgestone Americas LLC,210,Miscellaneous NP Tenants,1068,,,,,,,,
75,Fast Fleet Road Service,395,Direct ChassisLink Inc,1112,,,,,,,,,,
1015,P & B Intermodal Services LLC,694,FYX Fleet LLC,42,,,,,,,,,,
147,Integrated Industries Corp,496,STG Logistics,884,,,,,,,,,,
3,Southern Tire Mart LLC,865,Bridgestone Americas LLC,210,Direct ChassisLink Inc,1112,,,,,,,,
784,Pomps Tire Service Inc,68,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
470,Parkhouse Tire Inc,707,Bridgestone Americas LLC,210,Amazon Logistics Inc,1081,,,,,,,,
222,Kal Tire Ltd,538,Holcim Group Support Inc,55,,,,,,,,,,
287,Franco Roadside Services,1125,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
475,Downtime Fleet Inc,1115,STG Logistics,884,,,,,,,,,,
123,FYX Fleet LLC,42,Florida East Coast Railway,1124,,,,,,,,,,
1377,P & B Intermodal Services LLC,694,Direct ChassisLink Inc,1112,Hub Group Inc,1133,,,,,,,,
592,Chassis Support Services,1209,Direct ChassisLink Inc,1112,,,,,,,,,,
20,Premier Fleet Services,1632,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
1145,Illinois Fleet Service Inc,493,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
489,Straightline Auto And Diesel LLC,1180,Amazon Logistics Inc,1081,,,,,,,,,,
13,Southern Tire Mart LLC,865,Bridgestone Americas LLC,210,Performance Food Group Co,721,,,,,,,,
637,P & B Intermodal Services LLC,694,Direct ChassisLink Inc,1112,,,,,,,,,,
6,Pomps Tire Service Inc,68,NRC US Holding Co LLC,678,,,,,,,,,,
211,Pomps Tire Service Inc,68,Amazon Logistics Inc,1081,,,,,,,,,,
373,Dirty South Diesel,1704,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
86,Chassis Support Services,1209,Direct ChassisLink Inc,1112,STG Logistics,884,,,,,,,,
66,Kal Tire Ltd,538,Vedder Transport Ltd,1001,,,,,,,,,,
10,Pomps Tire Service Inc,68,Maverick Transportation,607,,,,,,,,,,
15,Beach Diesel Repair,1219,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
30,Incremental Tenants,1203,Direct ChassisLink Inc,1112,STG Logistics,884,,,,,,,,
65,Southern Tire Mart LLC,865,Bridgestone Americas LLC,210,Bulkmatic Transport Co,221,,,,,,,,
189,Southern Tire Mart LLC,865,Direct ChassisLink Inc,1112,Miscellaneous NP Tenants,1068,,,,,,,,
20,Dorsey Tire,354,Landstar Ranger,564,,,,,,,,,,
28,Quality Truck & Reefer Repair Inc,751,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
19,Foccus Road Service,1539,Direct ChassisLink Inc,1112,Miscellaneous NP Tenants,1068,,,,,,,,
90,McCarthy Tire Service,613,Incremental Tenants,1203,,,,,,,,,,
416,Incremental Tenants,1203,Hub Group Inc,1133,,,,,,,,,,
124,OTR Service LLC,690,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
33,TA Shops (Integrated),1312,TravelCenters Of America Inc,1187,STL Truckers LLC,2121,,,,,,,,
40252,Kooner Truck Repair Inc,557,Amazon Logistics Inc,1081,,,,,,,,,,
360,Boulevard Tire Center,199,Werner Enterprises Inc,1034,,,,,,,,,,
1185,Dorsey Tire,354,Miscellaneous NP Tenants,1068,,,,,,,,,,
923,Senoran Truck Repair,1176,Direct ChassisLink Inc,1112,Hub Group Inc,1133,,,,,,,,
20,Eagle Teleservices,1117,Petes Tire Barn Inc,724,Bridgestone Americas LLC,210,JB Hunt Transport Services Inc,515,,,,,,
1671,Wise Carriers,1193,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
729,Pomps Tire Service Inc,68,Direct ChassisLink Inc,1112,,,,,,,,,,
22,Yard Mule Specialists Inc,2143,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
191,Kal Tire Ltd,538,PVT Group Ltd,745,,,,,,,,,,
475,Kal Tire Ltd,538,Incremental Tenants,1203,,,,,,,,,,
7,Illinois Fleet Service Inc,493,Direct ChassisLink Inc,1112,Mark It Express,1990,,,,,,,,
719,Southern Tire Mart LLC,865,Direct ChassisLink Inc,1112,,,,,,,,,,
1190,Miscellaneous NP Tenants,1068,Hub Group Inc,1133,,,,,,,,,,
572,P & B Intermodal Services LLC,694,Direct ChassisLink Inc,1112,STG Logistics,884,,,,,,,,
58,TA Shops (Integrated),1312,TravelCenters Of America Inc,1187,FedEx Freight Inc,396,,,,,,,,
70,MTZ Co,1207,Direct ChassisLink Inc,1112,Miscellaneous NP Tenants,1068,,,,,,,,
354,Willies Mobile Service Inc,1192,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
308,TNT Roadside Repair,1184,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
102,Bridgestone Americas LLC,210,Incremental Tenants,1203,Bridgestone Americas LLC,210,XPO Inc,1059,,,,,,
366,Boulevard Tire Center,199,Penske Corp Inc,29,,,,,,,,,,
70,Eagle Teleservices,1117,Best One,73,Bridgestone Americas LLC,210,JB Hunt Transport Services Inc,515,,,,,,
85,Fleetpride Inc,406,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
175,Illinois Fleet Service Inc,493,Miscellaneous NP Tenants,1068,,,,,,,,,,
1,Chassis Support Services,1209,Direct ChassisLink Inc,1112,Infinity Intermodal,1136,,,,,,,,
2,Fleetpride Inc,406,Direct ChassisLink Inc,1112,R L Carriers Inc,784,,,,,,,,
109,Marine Repair Services Container Maintenance Corp,770,Direct ChassisLink Inc,1112,,,,,,,,,,
103,McCarthy Tire Service,613,Direct ChassisLink Inc,1112,,,,,,,,,,
960,Roadrunner Towing And Truck Service LLC,1172,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
217,Lintrac Services Inc,575,STG Logistics,884,,,,,,,,,,
289,Goodyear FleetHQ,1128,Schneider National Inc,824,,,,,,,,,,
18,Miscellaneous NP Tenants,1068,Direct ChassisLink Inc,1112,,,,,,,,,,
16,Marine Repair Services Container Maintenance Corp,770,Direct ChassisLink Inc,1112,STG Logistics,884,,,,,,,,
6,Bridgestone Americas LLC,210,Henise Tire Service,1576,Bridgestone Americas LLC,210,Vorto,1557,,,,,,
230,Volvo Action Service (Uptime Center),1191,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
52,Boulevard Tire Center,199,Frito Lay Transportation,51,,,,,,,,,,
65,Thomas Fleet Service LLC,930,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
73,Boulevard Tire Center,199,North American Truck Leasing Group,668,,,,,,,,,,
74,Boulevard Tire Center,199,Cypress Truck Lines Inc,325,,,,,,,,,,
72,TA Shops (Integrated),1312,RXO,1174,,,,,,,,,,
53,Burnside Tire And Service,1092,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
1202,P & B Intermodal Services LLC,694,Miscellaneous NP Tenants,1068,,,,,,,,,,
19,Chassis Support Services,1209,Direct ChassisLink Inc,1112,R L Carriers Inc,784,,,,,,,,
768,HB Ind Repair Services Inc,1130,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
196,Road One Mobile Inc,1168,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
31,McCarthy Tire Service,613,New Bern Transport Corp,45,,,,,,,,,,
12289,TA Shops (Integrated),1312,TravelCenters Of America Inc,1187,Miscellaneous NP Tenants,1068,,,,,,,,
8184,Southern Tire Mart LLC,865,Bridgestone Americas LLC,210,JB Hunt Transport Services Inc,515,,,,,,,,
2753,Michelin North America Inc,1153,Hub Group Inc,1133,,,,,,,,,,
139,Incremental Tenants,1203,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
640,Bains Towing & Recovery LLC,1204,Hub Group Inc,1133,,,,,,,,,,
3331,Senoran Truck Repair,1176,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
134,Incremental Tenants,1203,Bridgestone Americas LLC,210,JB Hunt Transport Services Inc,515,,,,,,,,
302,Best One,73,Bridgestone Americas LLC,210,Amazon Logistics Inc,1081,,,,,,,,
2515,McCarthy Tire Service,613,Miscellaneous NP Tenants,1068,,,,,,,,,,
18,Peach State Truck Centers,2074,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
263,TA Shops (Integrated),1312,TravelCenters Of America Inc,1187,Bennett Motor Express,167,,,,,,,,
124,Veteran Road Service LLC,1006,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
2485,Dispatch Wrecker Service,1957,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
3632,P & B Intermodal Services LLC,694,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
613,Southern Tire Mart LLC,865,Bridgestone Americas LLC,210,XPO Inc,1059,,,,,,,,
174,PJ & T 24 Transportation LLC,1161,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
16,P & B Intermodal Services LLC,694,Direct ChassisLink Inc,1112,R L Carriers Inc,784,,,,,,,,
18,TA Shops (Integrated),1312,TravelCenters Of America Inc,1187,Tribe Transportation Inc,2320,,,,,,,,
2,Eagle Teleservices,1117,Commercial Tire,1102,Bridgestone Americas LLC,210,Miscellaneous NP Tenants,1068,,,,,,
1434,Franco Fleet Service,1989,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
273,ATCC Repair Services,1082,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
64,McCarthy Tire Service,613,Bridgestone Americas LLC,210,XPO Inc,1059,,,,,,,,
68,Marine Repair Services Container Maintenance Corp,770,Direct ChassisLink Inc,1112,Hub Group Inc,1133,,,,,,,,
484,Southern Tire Mart LLC,865,Bridgestone Americas LLC,210,Incremental Tenants,1203,,,,,,,,
9,Across Road & Rail,1900,Direct ChassisLink Inc,1112,C & K Trucking,226,,,,,,,,
