event_count,customer,customer_id,customer_1,customer_1_id,customer_2,customer_2_id,customer_3,customer_3_id,customer_4,customer_4_id,customer_5,customer_5_id,customer_6,customer_6_id
202,STG Logistics,884,Direct ChassisLink Inc,1112,P & B Intermodal Services LLC,694.0,,,,,,,,
12,Incremental Tenants,1203,Bridgestone Americas LLC,210,Sullivan Tire,1722.0,Bridgestone Americas LLC,210.0,,,,,,
943,Amazon Logistics Inc,1081,Bridgestone Americas LLC,210,Southern Tire Mart LLC,865.0,,,,,,,,
115,Direct ChassisLink Inc,1112,Incremental Tenants,1203,,,,,,,,,,
1544,Hub Group Inc,1133,FYX Fleet LLC,42,,,,,,,,,,
10,Bulk Transport Co East Inc,1854,Bridgestone Americas LLC,210,Best One,73.0,Eagle Teleservices,1117.0,,,,,,
64,Annett Holdings Inc,117,Boulevard Tire Center,199,,,,,,,,,,
26,Vedder Transport Ltd,1001,Kal Tire Ltd,538,,,,,,,,,,
366,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Illinois Fleet Service Inc,493.0,,,,,,,,
33,FedEx Freight Inc,396,Direct ChassisLink Inc,1112,P & B Intermodal Services LLC,694.0,,,,,,,,
138,Incremental Tenants,1203,Kal Tire Ltd,538,,,,,,,,,,
41,Reyes Holdings LLC,773,Boulevard Tire Center,199,,,,,,,,,,
819,Amazon Logistics Inc,1081,Bridgestone Americas LLC,210,McCarthy Tire Service,613.0,,,,,,,,
106,STG Logistics,884,Direct ChassisLink Inc,1112,Southern Tire Mart LLC,865.0,,,,,,,,
208,Hub Group Inc,1133,Bains Towing & Recovery LLC,1204,,,,,,,,,,
146,Miscellaneous NP Tenants,1068,Bridgestone Americas LLC,210,McCarthy Tire Service,613.0,,,,,,,,
46,Pike Corp,1730,Boulevard Tire Center,199,,,,,,,,,,
226,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Wise Carriers,1193.0,,,,,,,,
174,Hub Group Inc,1133,Direct ChassisLink Inc,1112,Chassis Support Services,1209.0,,,,,,,,
14,JB Hunt Transport Services Inc,515,Bridgestone Americas LLC,210,Boulevard Tire Center,199.0,,,,,,,,
4,Shaw Transport Inc,838,Bridgestone Americas LLC,210,Southern Tire Mart LLC,865.0,,,,,,,,
29,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,OTR Service LLC,690.0,,,,,,,,
51,STG Logistics,884,FYX Fleet LLC,42,,,,,,,,,,
7,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Black Label Repair,1087.0,,,,,,,,
93,STG Logistics,884,P & B Intermodal Services LLC,694,,,,,,,,,,
15,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Quality Truck & Reefer Repair Inc,751.0,,,,,,,,
15,White Oak Transportation Inc,1552,Bridgestone Americas LLC,210,Southern Tire Mart LLC,865.0,,,,,,,,
147,Penske Corp Inc,29,Pomps Tire Service Inc,68,,,,,,,,,,
13,IMC Companies,1374,Pomps Tire Service Inc,68,,,,,,,,,,
459,JB Hunt Transport Services Inc,515,Bridgestone Americas LLC,210,Parkhouse Tire Inc,707.0,,,,,,,,
51,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Incremental Tenants,1203.0,,,,,,,,
47,Sysco Corp,901,Boulevard Tire Center,199,,,,,,,,,,
3,Ryder,1530,Pomps Tire Service Inc,68,,,,,,,,,,
26,Amazon Logistics Inc,1081,Parkhouse Tire Inc,707,,,,,,,,,,
15,Amazon Logistics Inc,1081,Bridgestone Americas LLC,210,Best One,73.0,Eagle Teleservices,1117.0,,,,,,
42,STG Logistics,884,TRAC Services LLC,1185,,,,,,,,,,
1,Bennett Motor Express,167,TravelCenters Of America Inc,1187,Rays Roadside Service & Maintenance,1624.0,,,,,,,,
