event_count,customer,customer_id,customer_1,customer_1_id,customer_2,customer_2_id,customer_3,customer_3_id,customer_4,customer_4_id,customer_5,customer_5_id,customer_6,customer_6_id
40252,Kooner Truck Repair Inc,557,Amazon Logistics Inc,1081,,,,,,,,,,
768,HB Ind Repair Services Inc,1130,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
217,Lintrac Services Inc,575,STG Logistics,884,,,,,,,,,,
31,TA Shops (Integrated),1312,TravelCenters Of America Inc,1187,Truck Service Point,2124,,,,,,,,
719,Southern Tire Mart LLC,865,Direct ChassisLink Inc,1112,,,,,,,,,,
98,Cummins Inc,1833,Amazon Logistics Inc,1081,,,,,,,,,,
923,Senoran Truck Repair,1176,Direct ChassisLink Inc,1112,Hub Group Inc,1133,,,,,,,,
330,AM Tech Fleet Service,1079,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
1185,Dorsey Tire,354,Miscellaneous NP Tenants,1068,,,,,,,,,,
72,TA Shops (Integrated),1312,RXO,1174,,,,,,,,,,
252,Flega,1963,Hub Group Inc,1133,,,,,,,,,,
1202,P & B Intermodal Services LLC,694,Miscellaneous NP Tenants,1068,,,,,,,,,,
65,Thomas Fleet Service LLC,930,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
11,Boulevard Tire Center,199,Southeast Milk Inc,858,,,,,,,,,,
210,MTZ Co,1207,Direct ChassisLink Inc,1112,Hub Group Inc,1133,,,,,,,,
33,Mobile Utility Services,1527,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
1,Premier Fleet Services,1632,Direct ChassisLink Inc,1112,Miscellaneous NP Tenants,1068,,,,,,,,
354,Willies Mobile Service Inc,1192,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
1190,Miscellaneous NP Tenants,1068,Hub Group Inc,1133,,,,,,,,,,
102,Bridgestone Americas LLC,210,Incremental Tenants,1203,Bridgestone Americas LLC,210,XPO Inc,1059,,,,,,
221,Fast Fleet Road Service,395,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
174,FYX Fleet LLC,42,STG Logistics,884,,,,,,,,,,
360,Boulevard Tire Center,199,Werner Enterprises Inc,1034,,,,,,,,,,
191,Kal Tire Ltd,538,PVT Group Ltd,745,,,,,,,,,,
48,A Mobile Maintenance,80,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
1671,Wise Carriers,1193,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
5,Southern Tire Mart LLC,865,Direct ChassisLink Inc,1112,Estes Express Lines,388,,,,,,,,
295,Willies Mobile Service Inc,1192,Direct ChassisLink Inc,1112,Hub Group Inc,1133,,,,,,,,
191,Pomps Tire Service Inc,68,Bridgestone Americas LLC,210,Miscellaneous NP Tenants,1068,,,,,,,,
31,Guerra Truck Center LLC,2306,Hub Group Inc,1133,,,,,,,,,,
1,First Gear Fleet Service Inc,1120,Direct ChassisLink Inc,1112,Miscellaneous NP Tenants,1068,,,,,,,,
70,MTZ Co,1207,Direct ChassisLink Inc,1112,Miscellaneous NP Tenants,1068,,,,,,,,
289,Goodyear FleetHQ,1128,Schneider National Inc,824,,,,,,,,,,
87,Harford Fleet Service,1129,Direct ChassisLink Inc,1112,,,,,,,,,,
22,Yard Mule Specialists Inc,2143,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
1,McCarthy Tire Service,613,Tidewater Fibre Corp,933,,,,,,,,,,
729,Pomps Tire Service Inc,68,Direct ChassisLink Inc,1112,,,,,,,,,,
40,Eagle Teleservices,1117,Commercial Tire,1102,Bridgestone Americas LLC,210,JB Hunt Transport Services Inc,515,,,,,,
960,Roadrunner Towing And Truck Service LLC,1172,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
475,Kal Tire Ltd,538,Incremental Tenants,1203,,,,,,,,,,
4,Bridgestone Americas LLC,210,Circle C Travel Stop,2335,Bridgestone Americas LLC,210,Miscellaneous NP Tenants,1068,,,,,,
2,A & A Tire And Trailer Repair Services LLC,1072,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
15,On Site Mobile Repair LLC,2002,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
308,TNT Roadside Repair,1184,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
26,Pardo Fleet Solutions,1230,Hub Group Inc,1133,,,,,,,,,,
