"event_count","customer","customer_id","customer_1","customer_1_id","customer_2","customer_2_id","customer_3","customer_3_id","customer_4","customer_4_id","customer_5","customer_5_id","customer_6","customer_6_id"
6204,Amazon Logistics Inc,1081,Bridgestone Americas LLC,210,McCarthy Tire Service,613,,,,,,,,
24302,Hub Group Inc,1133,FYX Fleet LLC,42,,,,,,,,,,
87512,Incremental Tenants,1203,Kal Tire Ltd,538,,,,,,,,,,
3841,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Illinois Fleet Service Inc,493,,,,,,,,
148,White Oak Transportation Inc,1552,Bridgestone Americas LLC,210,Southern Tire Mart LLC,865,,,,,,,,
5477,JB Hunt Transport Services Inc,515,Bridgestone Americas LLC,210,Parkhouse Tire Inc,707,,,,,,,,
206,Direct ChassisLink Inc,1112,Cundiffs Tire Louisville,1105,,,,,,,,,,
144,Penske Corp Inc,29,McCarthy Tire Service,613,Piedmont Truck Tires Inc,730,,,,,,,,
588,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,OTR Service LLC,690,,,,,,,,
673,Kenan Advantage Group Inc,72,TravelCenters Of America Inc,1187,TA Shops (Integrated),1312,,,,,,,,
178,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,CrossTex Fleet Services,1845,,,,,,,,
7969,Incremental Tenants,1203,McCarthy Tire Service,613,,,,,,,,,,
4991,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Wise Carriers,1193,,,,,,,,
7759,Amazon Logistics Inc,1081,FYX Fleet LLC,42,,,,,,,,,,
221,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Backlog Tenants,1069,,,,,,,,
842,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Bains Towing & Recovery LLC,1204,,,,,,,,
1317,Hub Group Inc,1133,Direct ChassisLink Inc,1112,Willies Mobile Service Inc,1192,,,,,,,,
155,Linde Plc,36,Bridgestone Americas LLC,210,Southern Tire Mart LLC,865,,,,,,,,
79,Amazon Logistics Inc,1081,Bridgestone Americas LLC,210,Best One,73,Eagle Teleservices,1117,,,,,,
2,Synagro Technologies Inc,900,Bridgestone Americas LLC,210,Pomps Tire Service Inc,68,,,,,,,,
67,Direct ChassisLink Inc,1112,Great Lakes Repair And Towing LLC,1561,,,,,,,,,,
2072,Backlog Tenants,1069,Kal Tire Ltd,538,,,,,,,,,,
1219,Hub Group Inc,1133,Direct ChassisLink Inc,1112,Pomps Tire Service Inc,68,,,,,,,,
8870,Amazon Logistics Inc,1081,Bridgestone Americas LLC,210,Southern Tire Mart LLC,865,,,,,,,,
655,Incremental Tenants,1203,Bridgestone Americas LLC,210,McCarthy Tire Service,613,,,,,,,,
108,Cheema Freightlines LLC,263,Bridgestone Americas LLC,210,Southern Tire Mart LLC,865,,,,,,,,
1232,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Incremental Tenants,1203,,,,,,,,
62,Essential Energy Services Ltd,386,Kal Tire Ltd,538,,,,,,,,,,
91,Hub Group Inc,1133,Direct ChassisLink Inc,1112,J Ortega Services,1198,,,,,,,,
22,Amerit Fleet Solutions Inc,114,Bridgestone Americas LLC,210,Best One,73,Eagle Teleservices,1117,,,,,,
75,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Florida Truck & Trailer Services,411,,,,,,,,
242,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Pardo Fleet Solutions,1230,,,,,,,,
39,The Sygma Network Inc,899,Bridgestone Americas LLC,210,McCarthy Tire Service,613,,,,,,,,
576,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,J & N Diesel Services LLC,1835,,,,,,,,
91,Amazon Logistics Inc,1081,P & B Intermodal Services LLC,694,,,,,,,,,,
81,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Best One,73,,,,,,,,
12,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Visegu Maintenance & Service LLC,1844,,,,,,,,
1250,Hub Group Inc,1133,Direct ChassisLink Inc,1112,Chassis Support Services,1209,,,,,,,,
89,Frito Lay Transportation,51,Bridgestone Americas LLC,210,Southern Tire Mart LLC,865,,,,,,,,
255,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,I5 Fleet Services,1134,,,,,,,,
4,Incremental Tenants,1203,Bridgestone Americas LLC,210,Zurcher Tire Inc,1758,Bridgestone Americas LLC,210,,,,,,
21,ContainerPort Group,1195,Direct ChassisLink Inc,1112,Veteran Road Service LLC,1006,,,,,,,,
130,Hub Group Inc,1133,Service Tire Truck Center Inc,831,,,,,,,,,,
437,Incremental Tenants,1203,Direct ChassisLink Inc,1112,Illinois Fleet Service Inc,493,,,,,,,,
141,Hub Group Inc,1133,Direct ChassisLink Inc,1112,Black Label Repair,1087,,,,,,,,
564,Annett Holdings Inc,117,Boulevard Tire Center,199,,,,,,,,,,
181,STG Logistics,884,Direct ChassisLink Inc,1112,Willies Mobile Service Inc,1192,,,,,,,,
1048,Direct ChassisLink Inc,1112,Incremental Tenants,1203,,,,,,,,,,
943,STG Logistics,884,Direct ChassisLink Inc,1112,Lintrac Services Inc,575,,,,,,,,
91,Hub Group Inc,1133,Cox Automotive Inc,305,,,,,,,,,,
128,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Quality Truck & Reefer Repair Inc,751,,,,,,,,
73,Kenan Advantage Group Inc,72,Boulevard Tire Center,199,,,,,,,,,,
5,Marten Transport Ltd,1331,Direct ChassisLink Inc,1112,P & B Intermodal Services LLC,694,,,,,,,,
1627,Penske Corp Inc,29,Boulevard Tire Center,199,,,,,,,,,,
519,Direct ChassisLink Inc,1112,Veteran Road Service LLC,1006,,,,,,,,,,
460,Hub Group Inc,1133,Direct ChassisLink Inc,1112,Veteran Road Service LLC,1006,,,,,,,,
69758,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,TA Shops (Integrated),1312,,,,,,,,
131243,Amazon Logistics Inc,1081,Cox Automotive Inc,305,,,,,,,,,,
13213,JB Hunt Transport Services Inc,515,Bridgestone Americas LLC,210,Pomps Tire Service Inc,68,,,,,,,,
2,Market Express Logistics LLC,603,TravelCenters Of America Inc,1187,TA Shops (Integrated),1312,,,,,,,,
381,Direct ChassisLink Inc,1112,Union Maintenance Applications,1189,,,,,,,,,,
271,JB Hunt Transport Services Inc,515,Bridgestone Americas LLC,210,Incremental Tenants,1203,Bridgestone Americas LLC,210,,,,,,
5505,Hub Group Inc,1133,Direct ChassisLink Inc,1112,P & B Intermodal Services LLC,694,,,,,,,,
2564,Direct ChassisLink Inc,1112,Southern Tire Mart LLC,865,,,,,,,,,,
