"event_count","customer","customer_id","customer_1","customer_1_id","customer_2","customer_2_id","customer_3","customer_3_id","customer_4","customer_4_id","customer_5","customer_5_id","customer_6","customer_6_id"
6283,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,P & B Intermodal Services LLC,694,,,,,,,,
374,Landstar Ranger,564,TravelCenters Of America Inc,1187,TA Shops (Integrated),1312,,,,,,,,
5327,Amazon Logistics Inc,1081,Fleetpride Inc,406,,,,,,,,,,
2913,Incremental Tenants,1203,Dorsey Tire,354,,,,,,,,,,
274,Backlog Tenants,1069,TravelCenters Of America Inc,1187,TA Shops (Integrated),1312,,,,,,,,
4998,Hub Group Inc,1133,Michelin North America Inc,1153,,,,,,,,,,
424,Amazon Logistics Inc,1081,Bridgestone Americas LLC,210,Best One,73,,,,,,,,
3642,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Wise Carriers,1193,,,,,,,,
642,Hub Group Inc,1133,Direct ChassisLink Inc,1112,Wise Carriers,1193,,,,,,,,
903,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Goodyear FleetHQ,1128,,,,,,,,
211,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Wilson & Marsha Trailer Service,1988,,,,,,,,
685,Schneider National Inc,824,Goodyear FleetHQ,1128,,,,,,,,,,
192,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Extremely Diesel Truck And Equipment Repair,1216,,,,,,,,
4,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,All American Roadside Repair,1323,,,,,,,,
37,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Fleet Solutions LLC,1123,,,,,,,,
465,RXO,1174,Franco Fleet Service,1989,,,,,,,,,,
10,J H O C Inc,522,Bridgestone Americas LLC,210,Best One,73,,,,,,,,
63,Amazon Logistics Inc,1081,TA Shops (Integrated),1312,,,,,,,,,,
23,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Big Dawg Truck & Trailer Repairs LLC,1920,,,,,,,,
4968,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Incremental Tenants,1203,,,,,,,,
805,Penske Corp Inc,29,Kal Tire Ltd,538,,,,,,,,,,
30,Idealease Inc,48,TravelCenters Of America Inc,1187,TA Shops (Integrated),1312,,,,,,,,
352,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,All Fleet Inc,99,,,,,,,,
146,Direct ChassisLink Inc,1112,Backlog Tenants,1069,,,,,,,,,,
199,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,TA Shops (Non Integrated),1281,,,,,,,,
19,J & M Tank Lines,506,Bridgestone Americas LLC,210,Southern Tire Mart LLC,865,,,,,,,,
5,Heartland Express Inc,472,Bridgestone Americas LLC,210,Incremental Tenants,1203,Bridgestone Americas LLC,210,,,,,,
1020,Amazon Logistics Inc,1081,Bridgestone Americas LLC,210,Pomps Tire Service Inc,68,,,,,,,,
1217,Direct ChassisLink Inc,1112,Pomps Tire Service Inc,68,,,,,,,,,,
1739,Hub Group Inc,1133,Direct ChassisLink Inc,1112,Senoran Truck Repair,1176,,,,,,,,
140,Forward Air Inc,416,TravelCenters Of America Inc,1187,TA Shops (Integrated),1312,,,,,,,,
663,Hub Group Inc,1133,Backlog Tenants,1069,,,,,,,,,,
349,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,OTR Fleet Service,1159,,,,,,,,
511,Bennett Motor Express,167,TravelCenters Of America Inc,1187,TA Shops (Integrated),1312,,,,,,,,
21,Incremental Tenants,1203,Bridgestone Americas LLC,210,Dan Callaghan Enterprises Inc,237,Eagle Teleservices,1117,,,,,,
85,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Hurts Service LLC,490,,,,,,,,
36,Incremental Tenants,1203,TravelCenters Of America Inc,1187,Franco Fleet Service,1989,,,,,,,,
9,Loblaws Inc,578,Bridgestone Americas LLC,210,Kal Tire Ltd,538,,,,,,,,
113,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Thomas Fleet Service LLC,930,,,,,,,,
500,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Skyway Road Service Corp,847,,,,,,,,
298,Direct ChassisLink Inc,1112,Integrated Industries Corp,496,,,,,,,,,,
981,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Volvo Action Service (Uptime Center),1191,,,,,,,,
60,DS Services Of America Inc,71,Boulevard Tire Center,199,,,,,,,,,,
705,Direct ChassisLink Inc,1112,Lintrac Services Inc,575,,,,,,,,,,
4,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Kramers Equipment Services LLC,1546,,,,,,,,
349,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Cundiffs Tire Louisville,1105,,,,,,,,
140,XPO Inc,1059,Bridgestone Americas LLC,210,Incremental Tenants,1203,Bridgestone Americas LLC,210,,,,,,
54,Heartland Express Inc,472,TravelCenters Of America Inc,1187,TA Shops (Integrated),1312,,,,,,,,
96,Ashley Distribution,135,Bridgestone Americas LLC,210,Pomps Tire Service Inc,68,,,,,,,,
13,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Red Rover Service,1962,,,,,,,,
43,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Crossroads Trailer,1495,,,,,,,,
8,US Foods Inc,985,Bridgestone Americas LLC,210,Best One,73,Bridgestone Americas LLC,210,,,,,,
111,Volume Transportation Inc,1008,Bridgestone Americas LLC,210,Southern Tire Mart LLC,865,,,,,,,,
449,Incremental Tenants,1203,Bridgestone Americas LLC,210,Pomps Tire Service Inc,68,,,,,,,,
49,United Rentals,27,Boulevard Tire Center,199,,,,,,,,,,
101,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,OTR Service LLC,690,,,,,,,,
83002,Amazon Logistics Inc,1081,Kooner Truck Repair Inc,557,,,,,,,,,,
13334,JB Hunt Transport Services Inc,515,Bridgestone Americas LLC,210,Southern Tire Mart LLC,865,,,,,,,,
15,Incremental Tenants,1203,Bridgestone Americas LLC,210,Dorsey Tire,354,,,,,,,,
31959,Incremental Tenants,1203,TravelCenters Of America Inc,1187,TA Shops (Integrated),1312,,,,,,,,
452,Hub Group Inc,1133,Direct ChassisLink Inc,1112,Illinois Fleet Service Inc,493,,,,,,,,
106,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,A Team Truck Specialists LLC,1928,,,,,,,,
9041,Incremental Tenants,1203,Pomps Tire Service Inc,68,,,,,,,,,,
3251,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Franco Fleet Service,1989,,,,,,,,
2018,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Backlog Tenants,1069,,,,,,,,
984,Amazon Logistics Inc,1081,Bridgestone Americas LLC,210,Parkhouse Tire Inc,707,,,,,,,,
1653,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,HB Ind Repair Services Inc,1130,,,,,,,,
