event_count,customer,customer_id,customer_1,customer_1_id,customer_2,customer_2_id,customer_3,customer_3_id,customer_4,customer_4_id,customer_5,customer_5_id,customer_6,customer_6_id
12289,Miscellaneous NP Tenants,1068,TravelCenters Of America Inc,1187,TA Shops (Integrated),1312,,,,,,,,
637,Direct ChassisLink Inc,1112,P & B Intermodal Services LLC,694,,,,,,,,,,
4354,Miscellaneous NP Tenants,1068,Boulevard Tire Center,199,,,,,,,,,,
230,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Volvo Action Service (Uptime Center),1191,,,,,,,,
923,Hub Group Inc,1133,Direct ChassisLink Inc,1112,Senoran Truck Repair,1176,,,,,,,,
2752,Hub Group Inc,1133,Michelin North America Inc,1153,,,,,,,,,,
151,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Cundiffs Tire Louisville,1105,,,,,,,,
22,Seaboard Transport LLC,827,Kal Tire Ltd,538,,,,,,,,,,
3633,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,P & B Intermodal Services LLC,694,,,,,,,,
175,Miscellaneous NP Tenants,1068,Illinois Fleet Service Inc,493,,,,,,,,,,
6481,Miscellaneous NP Tenants,1068,Pomps Tire Service Inc,68,,,,,,,,,,
86,STG Logistics,884,Direct ChassisLink Inc,1112,Chassis Support Services,1209,,,,,,,,
68,United Parcel Service Inc,25,Pomps Tire Service Inc,68,,,,,,,,,,
5,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Axle Surgeon Inc,1225,,,,,,,,
8,Miscellaneous NP Tenants,1068,Direct ChassisLink Inc,1112,Precision Diesel,1877,,,,,,,,
716,Amazon Logistics Inc,1081,Bridgestone Americas LLC,210,Pomps Tire Service Inc,68,,,,,,,,
1671,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Wise Carriers,1193,,,,,,,,
263,Bennett Motor Express,167,TravelCenters Of America Inc,1187,TA Shops (Integrated),1312,,,,,,,,
247,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Skyway Road Service Corp,847,,,,,,,,
