event_count,customer,customer_id,customer_1,customer_1_id,customer_2,customer_2_id,customer_3,customer_3_id,customer_4,customer_4_id,customer_5,customer_5_id,customer_6,customer_6_id
773,HB Ind Repair Services Inc,1130,Direct ChassisLink Inc,1112,,,,,,,,,,
79716,Kal Tire Ltd,538,Miscellaneous NP Tenants,1068,,,,,,,,,,
9287,Southern Tire Mart LLC,865,Bridgestone Americas LLC,210,Amazon Logistics Inc,1081,,,,,,,,
71328,TA Shops (Integrated),1312,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
23685,FYX Fleet LLC,42,Hub Group Inc,1133,,,,,,,,,,
13299,Pomps Tire Service Inc,68,Bridgestone Americas LLC,210,JB Hunt Transport Services Inc,515,,,,,,,,
1,Cruz Industrial Truck Inc,2241,TravelCenters Of America Inc,1187,Kenan Advantage Group Inc,72,,,,,,,,
1225,Wise Carriers,1193,Direct ChassisLink Inc,1112,,,,,,,,,,
6547,McCarthy Tire Service,613,Bridgestone Americas LLC,210,Amazon Logistics Inc,1081,,,,,,,,
562,Kirks Mobile Repair LLC,550,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
5415,P & B Intermodal Services LLC,694,Direct ChassisLink Inc,1112,Hub Group Inc,1133,,,,,,,,
431,Dark Horse Services,1106,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
2712,P & B Intermodal Services LLC,694,STG Logistics,884,,,,,,,,,,
159,Dorsey Tire,354,Penske Corp Inc,29,,,,,,,,,,
356,Willies Mobile Service Inc,1192,Direct ChassisLink Inc,1112,,,,,,,,,,
77,CNS Mobile Truck & Trailer Repair,1917,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
3409,Pomps Tire Service Inc,68,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
109,Rapid Fast Road Service,1623,Direct ChassisLink Inc,1112,Hub Group Inc,1133,,,,,,,,
719,Integrated Industries Corp,496,Direct ChassisLink Inc,1112,,,,,,,,,,
201,Kal Tire Ltd,538,Vedder Transport Ltd,1001,,,,,,,,,,
69,Big Dawg Truck & Trailer Repairs LLC,1920,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
81,Southern Tire Mart LLC,865,Bridgestone Americas LLC,210,Performance Food Group Co,721,,,,,,,,
3891,Illinois Fleet Service Inc,493,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
542,Kal Tire Ltd,538,Trican Well Service Ltd,961,,,,,,,,,,
6520,TA Shops (Integrated),1312,TravelCenters Of America Inc,1187,Penske Corp Inc,29,,,,,,,,
2069,Southern Tire Mart LLC,865,Direct ChassisLink Inc,1112,Hub Group Inc,1133,,,,,,,,
586,Boulevard Tire Center,199,Annett Holdings Inc,117,,,,,,,,,,
329,Parkhouse Tire Inc,707,Wal Mart Transportation LLC,1021,,,,,,,,,,
3164,Southern Tire Mart LLC,865,Bridgestone Americas LLC,210,Miscellaneous NP Tenants,1068,,,,,,,,
334,Fast Fleet Road Service,395,Direct ChassisLink Inc,1112,,,,,,,,,,
28,Southern States Utility Trailer Sales Inc,864,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
3782,P & B Intermodal Services LLC,694,FYX Fleet LLC,42,,,,,,,,,,
9,Bob Sumerel Tire Co,189,Bridgestone Americas LLC,210,,,,,,,,,,
35,Best Way Inc,1085,Direct ChassisLink Inc,1112,,,,,,,,,,
488,Bridgestone Americas LLC,210,Boss Truck Shop Inc,198,Bridgestone Americas LLC,210,JB Hunt Transport Services Inc,515,,,,,,
107,Precision Diesel,1877,Direct ChassisLink Inc,1112,,,,,,,,,,
253,Integrated Industries Corp,496,STG Logistics,884,,,,,,,,,,
1783,Straightline Auto And Diesel LLC,1180,Amazon Logistics Inc,1081,,,,,,,,,,
59,Doctor Diesel LLC,351,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
9,Southern Tire Mart LLC,865,Bridgestone Americas LLC,210,Direct ChassisLink Inc,1112,,,,,,,,
317,OTR Fleet Service,1159,Direct ChassisLink Inc,1112,Hub Group Inc,1133,,,,,,,,
1958,Downtime Fleet Inc,1115,STG Logistics,884,,,,,,,,,,
3777,Incremental Tenants,1203,Hub Group Inc,1133,,,,,,,,,,
1647,Parkhouse Tire Inc,707,Bridgestone Americas LLC,210,Amazon Logistics Inc,1081,,,,,,,,
435,McCarthy Tire Service,613,Incremental Tenants,1203,,,,,,,,,,
374,TA Shops (Non Integrated),1281,Bridgestone Americas LLC,210,Incremental Tenants,1203,,,,,,,,
1131,Custom Bandag,324,Bridgestone Americas LLC,210,Amazon Logistics Inc,1081,,,,,,,,
50964,TA Shops (Integrated),1312,TravelCenters Of America Inc,1187,Miscellaneous NP Tenants,1068,,,,,,,,
104,Southern Tire Mart LLC,865,Bridgestone Americas LLC,210,DS Services Of America Inc,71,,,,,,,,
2144,Pomps Tire Service Inc,68,Bridgestone Americas LLC,210,Amazon Logistics Inc,1081,,,,,,,,
640,Lintrac Services Inc,575,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
28869,Southern Tire Mart LLC,865,Bridgestone Americas LLC,210,JB Hunt Transport Services Inc,515,,,,,,,,
14531,P & B Intermodal Services LLC,694,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
7971,McCarthy Tire Service,613,Miscellaneous NP Tenants,1068,,,,,,,,,,
10546,Senoran Truck Repair,1176,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
131,Boulevard Tire Center,199,Martin Brower,604,,,,,,,,,,
161,Carrs Truck & Trailer Repair,2272,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
19248,Boulevard Tire Center,199,Miscellaneous NP Tenants,1068,,,,,,,,,,
635,Incremental Tenants,1203,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
10202,Michelin North America Inc,1153,Hub Group Inc,1133,,,,,,,,,,
10430,Dispatch Wrecker Service,1957,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
491,Pomps Tire Service Inc,68,Direct ChassisLink Inc,1112,Miscellaneous NP Tenants,1068,,,,,,,,
644,King Fleet,2068,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
1105,Bains Towing & Recovery LLC,1204,Hub Group Inc,1133,,,,,,,,,,
753,Piedmont Truck Tires Inc,730,McCarthy Tire Service,613,Miscellaneous NP Tenants,1068,,,,,,,,
86,Harford Fleet Service,1129,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
516,Incremental Tenants,1203,Bridgestone Americas LLC,210,JB Hunt Transport Services Inc,515,,,,,,,,
885,Best One,73,Bridgestone Americas LLC,210,Amazon Logistics Inc,1081,,,,,,,,
8532,Incremental Tenants,1203,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
317,Kal Tire Ltd,538,Step Energy Services Ltd,880,,,,,,,,,,
175,Coyson Transportation,2238,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
1065,TA Shops (Integrated),1312,TravelCenters Of America Inc,1187,Bennett Motor Express,167,,,,,,,,
16,TA Shops (Integrated),1312,TravelCenters Of America Inc,1187,Andrus Transportation Services,2066,,,,,,,,
2866,Southern Tire Mart LLC,865,Bridgestone Americas LLC,210,Incremental Tenants,1203,,,,,,,,
239,Roadrunner Towing And Truck Service LLC,1172,Direct ChassisLink Inc,1112,Miscellaneous NP Tenants,1068,,,,,,,,
196,Kirks Mobile Repair LLC,550,Direct ChassisLink Inc,1112,Hub Group Inc,1133,,,,,,,,
3,McGriff Tire Co Inc,617,TravelCenters Of America Inc,1187,Bennett Motor Express,167,,,,,,,,
2068,Kal Tire Ltd,538,Penske Corp Inc,29,,,,,,,,,,
519,Veteran Road Service LLC,1006,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
151,TA Shops (Non Integrated),1281,Bridgestone Americas LLC,210,Miscellaneous NP Tenants,1068,,,,,,,,
1195,Pomps Tire Service Inc,68,Direct ChassisLink Inc,1112,Hub Group Inc,1133,,,,,,,,
1827,Southern Tire Mart LLC,865,Bridgestone Americas LLC,210,XPO Inc,1059,,,,,,,,
69,Eagle Teleservices,1117,Bob Sumerel Tire Co,189,Bridgestone Americas LLC,210,Miscellaneous NP Tenants,1068,,,,,,
767,PJ & T 24 Transportation LLC,1161,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
38,P & B Intermodal Services LLC,694,Direct ChassisLink Inc,1112,R L Carriers Inc,784,,,,,,,,
5,Eagle Teleservices,1117,Boulevard Tire Center,199,Bridgestone Americas LLC,210,White Oak Transportation Inc,1552,,,,,,
277,Boulevard Tire Center,199,New Bern Transport Corp,45,,,,,,,,,,
90,Caldwell Road & Tire Repair,2131,Direct ChassisLink Inc,1112,,,,,,,,,,
5377,Franco Fleet Service,1989,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
4,Eagle Teleservices,1117,Commercial Tire,1102,Bridgestone Americas LLC,210,Miscellaneous NP Tenants,1068,,,,,,
909,P & B Intermodal Services LLC,694,Direct ChassisLink Inc,1112,Miscellaneous NP Tenants,1068,,,,,,,,
1669,Goodyear FleetHQ,1128,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
829,ATCC Repair Services,1082,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
196,McCarthy Tire Service,613,Bridgestone Americas LLC,210,XPO Inc,1059,,,,,,,,
185,Boulevard Tire Center,199,Cemex Inc,44,,,,,,,,,,
290,Marine Repair Services Container Maintenance Corp,770,Direct ChassisLink Inc,1112,Hub Group Inc,1133,,,,,,,,
40,Rays Roadside Service & Maintenance,1624,Direct ChassisLink Inc,1112,,,,,,,,,,
299,Boulevard Tire Center,199,Republic Services Inc,32,,,,,,,,,,
29,Goodyear FleetHQ,1128,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
