"event_count","customer","customer_id","customer_1","customer_1_id","customer_2","customer_2_id","customer_3","customer_3_id","customer_4","customer_4_id","customer_5","customer_5_id","customer_6","customer_6_id"
13213,Pomps Tire Service Inc,"68",Bridgestone Americas LLC,"210",JB Hunt Transport Services Inc,"515",,,,,,,,
69739,TA Shops (Integrated),"1312",TravelCenters Of America Inc,"1187",Amazon Logistics Inc,"1081",,,,,,,,
1986,Chassis Support Services,"1209",Direct ChassisLink Inc,"1112",,,,,,,,,,
3841,Illinois Fleet Service Inc,"493",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
118,Avanti Fleet Services,"1881",Hub Group Inc,"1133",,,,,,,,,,
8870,Southern Tire Mart LLC,"865",Bridgestone Americas LLC,"210",Amazon Logistics Inc,"1081",,,,,,,,
489,Bridgestone Americas LLC,"210",Boss Truck Shop Inc,"198",Bridgestone Americas LLC,"210",JB Hunt Transport Services Inc,"515",,,,,,
4399,Incremental Tenants,"1203",Hub Group Inc,"1133",,,,,,,,,,
535,Kirks Mobile Repair LLC,"550",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
24303,FYX Fleet LLC,"42",Hub Group Inc,"1133",,,,,,,,,,
36,Jet Repair Services,"1141",Direct ChassisLink Inc,"1112",Hub Group Inc,"1133",,,,,,,,
7993,McCarthy Tire Service,"613",Incremental Tenants,"1203",,,,,,,,,,
1075,Dirty South Diesel,"1704",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
446,Dark Horse Services,"1106",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
2071,Southern Tire Mart LLC,"865",Direct ChassisLink Inc,"1112",Hub Group Inc,"1133",,,,,,,,
6204,McCarthy Tire Service,"613",Bridgestone Americas LLC,"210",Amazon Logistics Inc,"1081",,,,,,,,
23,Bridgestone Americas LLC,"210",Boss Truck Shop Inc,"198",Bridgestone Americas LLC,"210",The Sherwin Williams Co,"927",,,,,,
5505,P & B Intermodal Services LLC,"694",Direct ChassisLink Inc,"1112",Hub Group Inc,"1133",,,,,,,,
71,Kal Tire Ltd,"538",Van Kam Freightways Ltd,"996",,,,,,,,,,
918,All Fleet Inc,"99",TravelCenters Of America Inc,"1187",Amazon Logistics Inc,"1081",,,,,,,,
6402,TA Shops (Integrated),"1312",TravelCenters Of America Inc,"1187",Penske Corp Inc,"29",,,,,,,,
3519,Pomps Tire Service Inc,"68",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
430,Kal Tire Ltd,"538",Waste Connections Inc,"34",,,,,,,,,,
3659,P & B Intermodal Services LLC,"694",FYX Fleet LLC,"42",,,,,,,,,,
8,Eagle Teleservices,"1117",Delray Tire and Retreading Corp,"340",Bridgestone Americas LLC,"210",Cheema Freightlines LLC,"263",,,,,,
781,HB Ind Repair Services Inc,"1130",Direct ChassisLink Inc,"1112",,,,,,,,,,
33,Pomps Tire Service Inc,"68",Bridgestone Americas LLC,"210",Heartland Express Inc,"472",,,,,,,,
1620,Parkhouse Tire Inc,"707",Bridgestone Americas LLC,"210",Amazon Logistics Inc,"1081",,,,,,,,
621,Dirty South Diesel,"1704",Direct ChassisLink Inc,"1112",Hub Group Inc,"1133",,,,,,,,
88,Eagle Teleservices,"1117",Best One,"73",Bridgestone Americas LLC,"210",Blackhawk Transport Inc,"1336",,,,,,
13,TA Shops (Integrated),"1312",TravelCenters Of America Inc,"1187",USA Truck Inc,"989",,,,,,,,
168,NKY Truck And Trailer Repair Services LLC,"666",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
122,TA Shops (Integrated),"1312",TravelCenters Of America Inc,"1187",Schneider National Inc,"824",,,,,,,,
46,Visegu Maintenance & Service LLC,"1844",Direct ChassisLink Inc,"1112",Incremental Tenants,"1203",,,,,,,,
300,Incremental Tenants,"1203",TravelCenters Of America Inc,"1187",Incremental Tenants,"1203",,,,,,,,
893,Illinois Fleet Service Inc,"493",Direct ChassisLink Inc,"1112",Hub Group Inc,"1133",,,,,,,,
128,Quality Truck & Reefer Repair Inc,"751",TravelCenters Of America Inc,"1187",Amazon Logistics Inc,"1081",,,,,,,,
576,Kal Tire Ltd,"538",Trican Well Service Ltd,"961",,,,,,,,,,
2,McCarthy Tire Service,"613",Schneider National Inc,"824",,,,,,,,,,
30,McCarthy Tire Service,"613",Bridgestone Americas LLC,"210",Sysco Corp,"901",,,,,,,,
904,Franco Roadside Services,"1125",TravelCenters Of America Inc,"1187",Amazon Logistics Inc,"1081",,,,,,,,
205,OTR Fleet Service,"1159",TravelCenters Of America Inc,"1187",Amazon Logistics Inc,"1081",,,,,,,,
317,Boulevard Tire Center,"199",Smyrna Ready Mix Concrete LLC,"850",,,,,,,,,,
2010,Downtime Fleet Inc,"1115",STG Logistics,"884",,,,,,,,,,
470,Southern Tire Mart LLC,"865",Bridgestone Americas LLC,"210",Mckinney Trailer Rental,"619",,,,,,,,
110,Bob Sumerel Tire Co,"189",Bridgestone Americas LLC,"210",Incremental Tenants,"1203",,,,,,,,
100,Pomps Tire Service Inc,"68",Crete Carrier Corp,"1104",,,,,,,,,,
45,Fleetpride Inc,"406",Direct ChassisLink Inc,"1112",Incremental Tenants,"1203",,,,,,,,
377,MTZ Co,"1207",Direct ChassisLink Inc,"1112",STG Logistics,"884",,,,,,,,
517,TRAC Services LLC,"1185",STG Logistics,"884",,,,,,,,,,
343,Fast Fleet Road Service,"395",Direct ChassisLink Inc,"1112",,,,,,,,,,
3354,P & B Intermodal Services LLC,"694",Direct ChassisLink Inc,"1112",,,,,,,,,,
910,P & B Intermodal Services LLC,"694",Direct ChassisLink Inc,"1112",Incremental Tenants,"1203",,,,,,,,
483,Kal Tire Ltd,"538",Mullen Group Ltd,"642",,,,,,,,,,
22,Cundiffs Tire Louisville,"1105",Direct ChassisLink Inc,"1112",STG Logistics,"884",,,,,,,,
2768,P & B Intermodal Services LLC,"694",STG Logistics,"884",,,,,,,,,,
