"event_count","customer","customer_id","customer_1","customer_1_id","customer_2","customer_2_id","customer_3","customer_3_id","customer_4","customer_4_id","customer_5","customer_5_id","customer_6","customer_6_id"
83001,Kooner Truck Repair Inc,"557",Amazon Logistics Inc,"1081",,,,,,,,,,
1,Dorsey Tire,"354",Bridgestone Americas LLC,"210",Cadence,"2052",,,,,,,,
22,Parkhouse Tire Inc,"707",Bridgestone Americas LLC,"210",Mckinney Trailer Rental,"619",,,,,,,,
106,A Team Truck Specialists LLC,"1928",TravelCenters Of America Inc,"1187",Amazon Logistics Inc,"1081",,,,,,,,
3641,Wise Carriers,"1193",TravelCenters Of America Inc,"1187",Amazon Logistics Inc,"1081",,,,,,,,
1653,HB Ind Repair Services Inc,"1130",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
817,Willies Mobile Service Inc,"1192",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
619,Willies Mobile Service Inc,"1192",Direct ChassisLink Inc,"1112",Hub Group Inc,"1133",,,,,,,,
414,Incremental Tenants,"1203",Direct ChassisLink Inc,"1112",Hub Group Inc,"1133",,,,,,,,
113,Eagle Teleservices,"1117",Best One,"73",Bridgestone Americas LLC,"210",JB Hunt Transport Services Inc,"515",,,,,,
59,Black Label Repair,"1087",Direct ChassisLink Inc,"1112",Hub Group Inc,"1133",,,,,,,,
2,First Time Fix It,"1121",TravelCenters Of America Inc,"1187",Amazon Logistics Inc,"1081",,,,,,,,
29921,Kal Tire Ltd,"538",Incremental Tenants,"1203",,,,,,,,,,
1047,Miscellaneous NP Tenants,"1068",Hub Group Inc,"1133",,,,,,,,,,
301,McCarthy Tire Service,"613",Bridgestone Americas LLC,"210",Incremental Tenants,"1203",,,,,,,,
53,Jet Repair Services,"1141",Direct ChassisLink Inc,"1112",,,,,,,,,,
292,Illinois Fleet Service Inc,"493",Direct ChassisLink Inc,"1112",Incremental Tenants,"1203",,,,,,,,
54,Southern Tire Mart LLC,"865",Bridgestone Americas LLC,"210",Robbie D Wood Inc,"788",,,,,,,,
114,Across Road & Rail,"1900",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
1072,Southern Tire Mart LLC,"865",Direct ChassisLink Inc,"1112",,,,,,,,,,
1724,Roadrunner Towing And Truck Service LLC,"1172",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
30,Statewide Towing,"1927",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
418,TNT Roadside Repair,"1184",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
1217,Pomps Tire Service Inc,"68",Direct ChassisLink Inc,"1112",,,,,,,,,,
981,Volvo Action Service (Uptime Center),"1191",TravelCenters Of America Inc,"1187",Amazon Logistics Inc,"1081",,,,,,,,
29,OTR Service LLC,"690",Direct ChassisLink Inc,"1112",Hub Group Inc,"1133",,,,,,,,
685,Goodyear FleetHQ,"1128",Schneider National Inc,"824",,,,,,,,,,
30,TA Shops (Integrated),"1312",TravelCenters Of America Inc,"1187",Idealease Inc,"48",,,,,,,,
146,Boulevard Tire Center,"199",Cypress Truck Lines Inc,"325",,,,,,,,,,
70,Boulevard Tire Center,"199",Waste Connections Inc,"34",,,,,,,,,,
43,Crossroads Trailer,"1495",TravelCenters Of America Inc,"1187",Amazon Logistics Inc,"1081",,,,,,,,
15,E And H 24 Hour Roadside Service,"1196",TravelCenters Of America Inc,"1187",Amazon Logistics Inc,"1081",,,,,,,,
935,P & B Intermodal Services LLC,"694",Direct ChassisLink Inc,"1112",STG Logistics,"884",,,,,,,,
2898,Dorsey Tire,"354",Incremental Tenants,"1203",,,,,,,,,,
34,Boulevard Tire Center,"199",Saia Motor Freight Line LLC,"77",,,,,,,,,,
660,Boulevard Tire Center,"199",Penske Corp Inc,"29",,,,,,,,,,
16367,Parkhouse Tire Inc,"707",Incremental Tenants,"1203",,,,,,,,,,
166,Bridgestone Americas LLC,"210",Incremental Tenants,"1203",Bridgestone Americas LLC,"210",XPO Inc,"1059",,,,,,
35,Integrated Industries Corp,"496",Direct ChassisLink Inc,"1112",STG Logistics,"884",,,,,,,,
62,Precision Diesel,"1877",Direct ChassisLink Inc,"1112",Hub Group Inc,"1133",,,,,,,,
156,Bob Sumerel Tire Co,"189",Incremental Tenants,"1203",,,,,,,,,,
170,Boulevard Tire Center,"199",North American Truck Leasing Group,"668",,,,,,,,,,
7,Interstate Utility Trailer,"499",TravelCenters Of America Inc,"1187",Amazon Logistics Inc,"1081",,,,,,,,
125,Harford Fleet Service,"1129",Direct ChassisLink Inc,"1112",,,,,,,,,,
32,Bridgestone Americas LLC,"210",Rocky Mtn Mobile Truck Service Inc,"793",Bridgestone Americas LLC,"210",JB Hunt Transport Services Inc,"515",,,,,,
55033,Cox Automotive Inc,"305",Amazon Logistics Inc,"1081",,,,,,,,,,
86,Willies Mobile Service Inc,"1192",Direct ChassisLink Inc,"1112",STG Logistics,"884",,,,,,,,
31981,TA Shops (Integrated),"1312",TravelCenters Of America Inc,"1187",Incremental Tenants,"1203",,,,,,,,
5326,Fleetpride Inc,"406",Amazon Logistics Inc,"1081",,,,,,,,,,
2279,Parkhouse Tire Inc,"707",Bridgestone Americas LLC,"210",JB Hunt Transport Services Inc,"515",,,,,,,,
37,Fleet Solutions LLC,"1123",TravelCenters Of America Inc,"1187",Amazon Logistics Inc,"1081",,,,,,,,
349,OTR Fleet Service,"1159",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
500,Skyway Road Service Corp,"847",TravelCenters Of America Inc,"1187",Amazon Logistics Inc,"1081",,,,,,,,
3334,FYX Fleet LLC,"42",Amazon Logistics Inc,"1081",,,,,,,,,,
140,TA Shops (Integrated),"1312",TravelCenters Of America Inc,"1187",Forward Air Inc,"416",,,,,,,,
